epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,357.389,0.69798,1.1313,1.17651,0.77271,0.5679,0.7415,0.59822,0.78881,1.51562,1.33021,0.000224013,0.000224013,0.000224013
107,360.603,0.70217,1.14358,1.18038,0.61393,0.70617,0.70604,0.59312,0.77235,1.52913,1.3121,0.000223765,0.000223765,0.000223765
108,363.825,0.70281,1.12159,1.18428,0.70461,0.57977,0.67834,0.53713,0.90109,1.69742,1.48171,0.000223518,0.000223518,0.000223518
109,367.06,0.70427,1.13654,1.18253,0.59525,0.67594,0.69916,0.5544,0.8242,1.60828,1.38637,0.00022327,0.00022327,0.00022327
110,370.309,0.68424,1.11984,1.16501,0.73692,0.59435,0.68315,0.55029,0.78948,1.53248,1.34772,0.000223023,0.000223023,0.000223023
111,373.594,0.6898,1.12133,1.17324,0.7612,0.60494,0.71678,0.58896,0.75185,1.62123,1.3056,0.000222775,0.000222775,0.000222775
112,376.863,0.69347,1.11251,1.16908,0.8294,0.49383,0.69372,0.55752,0.81187,1.64279,1.34206,0.000222528,0.000222528,0.000222528
113,380.185,0.6717,1.09888,1.15705,0.51448,0.73041,0.75822,0.59548,0.86643,1.55588,1.42321,0.00022228,0.00022228,0.00022228
114,383.487,0.69509,1.11362,1.16814,0.8866,0.49383,0.73808,0.60068,0.82362,1.48298,1.37283,0.000222032,0.000222032,0.000222032
115,386.796,0.67835,1.08888,1.16498,0.66545,0.66086,0.7219,0.59587,0.82724,1.55276,1.38579,0.000221785,0.000221785,0.000221785
116,390.024,0.67761,1.09629,1.15875,0.60054,0.74021,0.76094,0.61913,0.83013,1.56177,1.39343,0.000221538,0.000221538,0.000221538
117,393.257,0.67471,1.05758,1.15863,0.68016,0.64646,0.76993,0.63236,0.80914,1.54531,1.35819,0.00022129,0.00022129,0.00022129
118,396.543,0.68819,1.10555,1.16894,0.86464,0.48899,0.72747,0.59373,0.87953,1.60578,1.44777,0.000221042,0.000221042,0.000221042
119,399.835,0.68051,1.07682,1.16627,0.87744,0.45679,0.70907,0.57911,0.80176,1.67522,1.35133,0.000220795,0.000220795,0.000220795
120,403.073,0.70581,1.09801,1.17361,0.77955,0.57371,0.75084,0.59946,0.83973,1.65477,1.3822,0.000220548,0.000220548,0.000220548
121,406.425,0.6815,1.07204,1.16114,0.79852,0.60494,0.71834,0.57632,0.81409,1.63105,1.34546,0.0002203,0.0002203,0.0002203
122,409.723,0.66883,1.03239,1.14701,0.65068,0.66654,0.7038,0.56826,0.83276,1.57919,1.36149,0.000220053,0.000220053,0.000220053
123,412.966,0.67013,1.05999,1.15935,0.74407,0.58945,0.70035,0.5661,0.84336,1.57613,1.38017,0.000219805,0.000219805,0.000219805
124,416.29,0.66706,1.07237,1.13934,0.71585,0.62124,0.72472,0.57927,0.86198,1.68506,1.37747,0.000219558,0.000219558,0.000219558
125,419.598,0.67943,1.05941,1.15332,0.63836,0.63715,0.7029,0.55163,0.80591,1.73111,1.33968,0.00021931,0.00021931,0.00021931
126,422.889,0.66567,1.05217,1.14701,0.57532,0.70739,0.75799,0.6322,0.76746,1.49584,1.30512,0.000219062,0.000219062,0.000219062
127,426.221,0.66547,1.02782,1.15611,0.64044,0.72289,0.78255,0.63078,0.87868,1.45858,1.42544,0.000218815,0.000218815,0.000218815
128,429.61,0.66652,1.03928,1.15867,0.59031,0.6887,0.70845,0.59117,0.76121,1.48161,1.28738,0.000218568,0.000218568,0.000218568
129,432.972,0.66828,1.05302,1.1512,0.68851,0.67455,0.72621,0.60218,0.84291,1.48663,1.39963,0.00021832,0.00021832,0.00021832
130,436.265,0.65632,1.01532,1.13113,0.7377,0.57482,0.70173,0.58254,0.80473,1.63436,1.36341,0.000218073,0.000218073,0.000218073
131,439.586,0.67882,1.06943,1.16561,0.67637,0.66116,0.71481,0.59403,0.79656,1.62404,1.35007,0.000217825,0.000217825,0.000217825
132,442.894,0.67503,1.04742,1.15831,0.71015,0.63803,0.69329,0.56376,0.80682,1.6537,1.34437,0.000217578,0.000217578,0.000217578
133,446.209,0.67406,1.05254,1.15369,0.82942,0.52005,0.66387,0.52415,0.86227,1.73645,1.41405,0.00021733,0.00021733,0.00021733
134,449.481,0.64967,1.0191,1.14203,0.80709,0.53086,0.68104,0.5525,0.79619,1.95217,1.3543,0.000217083,0.000217083,0.000217083
135,452.802,0.6722,1.04268,1.15409,0.70577,0.59319,0.67907,0.55201,0.81552,1.68976,1.37563,0.000216835,0.000216835,0.000216835
136,456.123,0.66702,1.04441,1.14492,0.60706,0.70796,0.72949,0.59784,0.78705,1.56006,1.34819,0.000216587,0.000216587,0.000216587
137,459.442,0.66863,1.00683,1.14957,0.64486,0.64198,0.71897,0.59319,0.82866,1.68631,1.40071,0.00021634,0.00021634,0.00021634
138,462.77,0.6623,1.0356,1.1409,0.65325,0.62783,0.67907,0.56414,0.75814,1.71319,1.3202,0.000216092,0.000216092,0.000216092
139,466.076,0.65018,0.99171,1.13275,0.76359,0.5679,0.65279,0.54555,0.74732,1.73712,1.30992,0.000215845,0.000215845,0.000215845
140,469.395,0.64313,0.9874,1.13898,0.68904,0.61914,0.66067,0.53998,0.77046,1.65768,1.3173,0.000215597,0.000215597,0.000215597
141,472.68,0.64674,0.98382,1.12632,0.66602,0.62526,0.68075,0.55982,0.82538,1.57267,1.37151,0.00021535,0.00021535,0.00021535
142,475.926,0.64768,0.99954,1.13063,0.74082,0.54433,0.71045,0.58213,0.79766,1.60817,1.35442,0.000215103,0.000215103,0.000215103
143,479.206,0.65667,1.02125,1.14862,0.78635,0.46613,0.67756,0.55058,0.80401,1.7331,1.39495,0.000214855,0.000214855,0.000214855
144,482.52,0.65321,0.99544,1.13674,0.78132,0.49383,0.67085,0.55685,0.79893,1.76518,1.39909,0.000214608,0.000214608,0.000214608
145,485.887,0.6543,1.00989,1.13858,0.79247,0.58022,0.75076,0.61684,0.82837,1.60555,1.40748,0.00021436,0.00021436,0.00021436
146,489.233,0.65315,0.99124,1.14062,0.75863,0.53745,0.67422,0.56493,0.75459,1.68592,1.30476,0.000214112,0.000214112,0.000214112
147,492.533,0.64984,1.00723,1.14027,0.83488,0.44584,0.70184,0.55673,0.839,1.60992,1.38536,0.000213865,0.000213865,0.000213865
148,495.878,0.63982,0.97309,1.1226,0.72581,0.56518,0.71527,0.58886,0.81956,1.66019,1.37787,0.000213617,0.000213617,0.000213617
149,499.196,0.64007,0.98896,1.13193,0.67071,0.69753,0.76162,0.64764,0.76517,1.49798,1.34443,0.00021337,0.00021337,0.00021337
150,502.533,0.65543,1.02385,1.13938,0.81554,0.53086,0.75854,0.63221,0.80534,1.53814,1.36444,0.000213123,0.000213123,0.000213123
151,505.855,0.64796,0.99262,1.13155,0.6477,0.62852,0.6755,0.56435,0.79172,1.67057,1.32141,0.000212875,0.000212875,0.000212875
152,509.197,0.64327,0.96327,1.12616,0.8429,0.45512,0.68753,0.5554,0.85751,1.66312,1.41026,0.000212627,0.000212627,0.000212627
153,512.528,0.64605,0.98237,1.13748,0.63138,0.57485,0.6519,0.52452,0.84388,1.65621,1.41278,0.00021238,0.00021238,0.00021238
154,515.807,0.64407,0.97676,1.13493,0.80941,0.44806,0.6758,0.55329,0.80237,1.72137,1.36446,0.000212133,0.000212133,0.000212133
155,519.136,0.65271,0.98462,1.14047,0.57543,0.67901,0.69051,0.57624,0.80592,1.58406,1.39282,0.000211885,0.000211885,0.000211885
156,522.437,0.65033,0.98203,1.13837,0.62927,0.69282,0.76024,0.63694,0.80992,1.46773,1.36711,0.000211638,0.000211638,0.000211638
157,525.736,0.63916,0.97052,1.13142,0.68432,0.64626,0.69241,0.56903,0.83676,1.43767,1.39176,0.00021139,0.00021139,0.00021139
158,529.04,0.64932,0.97883,1.12975,0.65284,0.61006,0.66682,0.55748,0.76192,1.63483,1.327,0.000211142,0.000211142,0.000211142
159,532.328,0.63985,0.97646,1.13158,0.64077,0.67154,0.68338,0.57026,0.74423,1.50784,1.31602,0.000210895,0.000210895,0.000210895
160,535.642,0.64731,0.96095,1.12793,0.63589,0.662,0.75982,0.62918,0.82653,1.50732,1.40186,0.000210647,0.000210647,0.000210647
161,538.962,0.64866,0.96256,1.12962,0.54804,0.66485,0.77386,0.64709,0.74389,1.6539,1.32765,0.0002104,0.0002104,0.0002104
162,542.286,0.64161,0.97125,1.13345,0.66487,0.69396,0.75512,0.61102,0.80627,1.68094,1.37317,0.000210152,0.000210152,0.000210152
163,545.574,0.6331,0.95961,1.12038,0.66441,0.60439,0.72143,0.57454,0.83952,1.89547,1.45547,0.000209905,0.000209905,0.000209905
164,548.868,0.64354,0.96752,1.1307,0.75595,0.52079,0.6864,0.56045,0.82331,1.77863,1.39986,0.000209658,0.000209658,0.000209658
165,552.144,0.64023,0.96562,1.11731,0.55387,0.67901,0.69806,0.55331,0.9058,1.66514,1.44891,0.00020941,0.00020941,0.00020941
166,555.485,0.63894,0.9544,1.12945,0.67601,0.5679,0.71067,0.58148,0.8073,1.71278,1.38452,0.000209162,0.000209162,0.000209162
167,558.81,0.63378,0.94007,1.11977,0.79623,0.5679,0.74544,0.61809,0.80835,1.55126,1.37286,0.000208915,0.000208915,0.000208915
168,562.133,0.61806,0.90223,1.10469,0.61366,0.69753,0.7289,0.59667,0.85009,1.61941,1.42683,0.000208667,0.000208667,0.000208667
169,565.481,0.63663,0.94666,1.12692,0.81316,0.52931,0.71835,0.59188,0.7636,1.66854,1.32083,0.00020842,0.00020842,0.00020842
170,568.813,0.63352,0.93858,1.11998,0.77843,0.51033,0.68993,0.56155,0.78581,1.66156,1.36795,0.000208172,0.000208172,0.000208172
171,572.116,0.617,0.89584,1.1185,0.68375,0.65344,0.71103,0.58777,0.76259,1.62563,1.32815,0.000207925,0.000207925,0.000207925
172,575.452,0.624,0.92286,1.11498,0.69034,0.63253,0.72833,0.59121,0.81066,1.70331,1.3746,0.000207677,0.000207677,0.000207677
173,578.794,0.60693,0.90162,1.1004,0.60466,0.72575,0.71887,0.59703,0.79158,1.59519,1.3549,0.00020743,0.00020743,0.00020743
174,582.096,0.62045,0.90688,1.11098,0.62658,0.65187,0.68602,0.5573,0.75667,1.76773,1.32797,0.000207182,0.000207182,0.000207182
175,585.467,0.63538,0.93608,1.12692,0.66729,0.62323,0.70144,0.57379,0.79851,1.70151,1.3914,0.000206935,0.000206935,0.000206935
176,588.763,0.6261,0.94423,1.1162,0.63959,0.64143,0.65869,0.54049,0.77145,1.50949,1.34934,0.000206688,0.000206688,0.000206688
177,592.088,0.63009,0.94128,1.11845,0.8167,0.49383,0.72254,0.60312,0.77367,1.46615,1.35072,0.00020644,0.00020644,0.00020644
178,595.419,0.61431,0.91609,1.10415,0.80893,0.53086,0.70752,0.58128,0.80356,1.60414,1.36809,0.000206193,0.000206193,0.000206193
179,598.724,0.60782,0.88215,1.09934,0.61651,0.64198,0.70249,0.58446,0.80311,1.69976,1.37098,0.000205945,0.000205945,0.000205945
180,602.045,0.6079,0.88099,1.09715,0.74558,0.60494,0.71148,0.59182,0.75335,1.53121,1.31114,0.000205697,0.000205697,0.000205697
181,605.361,0.62421,0.9151,1.11738,0.67295,0.71394,0.74495,0.5966,0.8716,1.44038,1.41167,0.00020545,0.00020545,0.00020545
182,608.679,0.62291,0.92058,1.11243,0.90351,0.48318,0.74422,0.62201,0.7808,1.57014,1.32534,0.000205202,0.000205202,0.000205202
183,611.974,0.62872,0.93893,1.11915,0.64718,0.64198,0.69946,0.5785,0.7891,1.65285,1.36213,0.000204955,0.000204955,0.000204955
184,615.279,0.62321,0.91053,1.11137,0.86406,0.48104,0.68341,0.56231,0.79585,1.70776,1.35296,0.000204707,0.000204707,0.000204707
